business_name,category,Addresse,lat,lon,description_fr,instagram,image_url,image_orientation
Café Éclair,Coffee,"12 Maguire St, Montreal, Quebec H2T 1B8",45.52463788140504,-73.59557881951332,"Café de specialité, excellent.",eclair.montreal,,
Café Even,Coffee,"267 Rue Saint-Zotique O, Montréal, QC H2V 1A4",45.52889402305176,-73.61613392829895,"Café de specialité, excellent.",evencoffeemtl,DSCF0173.JPG,portrait
Café In Gamba,Coffee,"71 Saint Viateur St. East, Montreal, Quebec H2T 1B4",45.52694544540877,-73.5981684923172,"Café de specialité, excellent.",cafeingamba,,
Café In Gamba,Coffee,"5263 Park Ave, Montreal, Quebec H2V 4G9",45.52102977404512,-73.59916090965271,"Café de specialité, excellent.",cafeingamba,,
Café Rose De Mai,Coffee,"500 Rue Bélanger, Montréal, QC H2S 1G4",45.537941716770355,-73.61101225018501,"Café de specialité, excellent.",caferosedemai,,
Pista,Coffee,"500 Rue Beaubien E, Montréal, QC H2S 1S5",45.53478444274838,-73.60406666994095,"Café de specialité, excellent.",cafepista,,
Saint Henri,Coffee,"7335 Rue Mile End, Montreal, Quebec H2R 2Z7",45.53231373575747,-73.62329542636871,"Café de specialité, excellent.",cafesainthenri,DSCF3094.JPG,landscape
Larue et fils,Coffee,"244 R. de Castelnau E, Montréal, QC H2R 1P5",45.5376608477467,-73.61788272857666,"Café de specialité, excellent.",cafelarueetfils,,
Olympico,Coffee,"124 Saint Viateur St. West, Montreal, Quebec H2T 2L1",45.52410607595401,-73.60025256872177,"Café de specialité, excellent.",cafeolimpico,,
Club Social,Coffee,"178 Rue Saint-Viateur Ouest, Montreal, QC H2T 2L4",45.52355641309328,-73.6008332669735,"Café de specialité, excellent.",,DSCF2940.JPG,portrait
Ratafia,Restaurant,"6778 Boul. Saint-Laurent, Montréal, QC H2S 3C7",45.53239358920166,-73.61351206898689,,ratafiamontreal,,
Parapluie,Restaurant,"44 Rue Beaubien O, Montréal, QC H2S 1V3",45.53014543654819,-73.60970467329025,,parapluie.mtl,,
Bar Mamie,Restaurant,"328 Rue Beaubien E, Montréal, QC H2S 1R8",45.53306153533553,-73.60565051436424,,barmamie,,
La Cave de Mamie,Restaurant,"322 Rue Beaubien E, Montréal, QC H2S 1R8",45.533004229438255,-73.60572695732117,,lacavedemamie,,
Yokato Yokabai,Restaurant,"4185 Drolet St, Montreal, Quebec H2W 2L5",45.52122709839767,-73.57854008674622,,yokatoyokabai,,
Locali Pizza,Restaurant,"1028 Rue Saint-Zotique Est, Montréal, QC H2S 1N2",45.53891770223567,-73.60511541366577,,locali.pizza,,
Pizza Bouquet,Restaurant,"45 Rue Beaubien E, Montréal, QC H2S 1P7",45.530819046249796,-73.60810071229935,,pizzabouquet,,
Super Qualité,Restaurant,"1211 Rue Bélanger, Montréal, QC H2S 1H7",45.54201932605788,-73.60769435763359,,lesuperqualite,,
Mui Mui,Restaurant,"149 Rue Jean-Talon O, Montréal, QC H2R 2W9",45.533142327157094,-73.61986219882965,,muimuimtl,,
Buvette Gentille,Restaurant,"73 Rue St Jean Baptiste, Baie-Saint-Paul, QC G3Z 1M6",47.4442161814638,-70.50897181034088,,buvettegentille,,
Satay Brothers,Restaurant,"3721 R. Notre Dame O, Montréal, QC H4C 1P8",45.47931773514108,-73.58187407255173,,sataybrothers,,
Red Tiger,Restaurant,"1201 Boul. de Maisonneuve E, Montréal, QC H2X 2A1",45.51920496081231,-73.55783611536026,,leredtiger,,
O-Thym,Restaurant,"1257 R. Atateken, Montréal, QC H2L 3K9",45.517097237270974,-73.55603367090225,,othymmtl,,
Boucherie Lawrence,Epicerie Fine,"5237 Boul. Saint-Laurent, Montréal, QC H2T 1S4",45.52431936248957,-73.59523013234138,,boucherie.lawrence,,
Chez Brebis,Epicerie Fine,"21 Av. Fairmount O, Montréal, QC H2T 2L9",45.52358413126352,-73.59495587646961,,chezbrebis,,
Fromagerie Hamel,Epicerie Fine,"220 Rue Jean-Talon E, Montréal, QC H2R 1S7",45.53627573901646,-73.61596293747425,,fromageriehamel,,
Marche des Saveurs,Epicerie Fine,"Marché Jean-Talon, 280 Pl. du Marché-du-Nord, Montréal, QC H2S 1A1",45.53612167937548,-73.61387215554714,,,,
Marche Jean Talon,Epicerie Fine,"7070 Henri Julien Ave, Montreal, Quebec H2S 3A3",45.53611087639701,-73.61489474773407,,,DSCF3102.JPG,portrait
Marche Atwater,Epicerie Fine,"138 Atwater Ave, Montreal, Quebec H4C 2G3",45.479523668742814,-73.57696831226349,,,,
Bar Mamie,Bar,"328 Rue Beaubien E, Montréal, QC H2S 1R8",45.53306153533553,-73.60565051436424,,barmamie,,
Buvette Beaubien,Bar,"211 Rue Beaubien E, Montréal, QC H2S 1R5",45.5321540285289,-73.60680520534515,,buvette_beaubien,,
Pub Bishop & Baggs,Bar,"52 Saint Viateur St. West, Montreal, Quebec H2T 2V2",45.525058812190586,-73.5994291305542,,bishopandbagg,,
Bar Le Sparrow,Bar,"5322 Boul. Saint-Laurent, Montréal, QC H2T 1S1",45.524592781491194,-73.5965484380722,,thesparrowbar,,
Darling,Bar,"4328 Boul. Saint-Laurent, Montréal, QC H2W 1Z3",45.51884224629088,-73.58407348394394,,bar.darling,DSCF1153.JPG,landscape
Le Majestique,Bar,"4105 Boul. Saint-Laurent, Montréal, QC H2W 1Y7",45.517517284775266,-73.5803210735321,,lemajestique,,
Polari,Bar,"375 Rue de Castelnau Est, Montreal, QC H2R 1P3, Canada",45.53891347519366,-73.61763060092926,,polari.vin,,
Isle De Garde,Bar,"1039 Rue Beaubien E, Montréal, QC H2S 1T3",45.537553760191024,-73.60195845365524,,isledegarde,,
Mellön,Brasserie,"7141 St Andre St, Montreal, Quebec H2S 2N1",45.54094664571386,-73.6125035583973,,mellonbrasserie,,
Messorem,Brasserie,"2233 Rue Pitt, Montréal, QC H4E 1A2",45.469500693786124,-73.58071267604828,,messorembracitorium,DSCF1242.JPG,landscape
Wills,Brasserie,"6729 Esplanade Ave, Montreal, Quebec H2V 4P9",45.529872984028856,-73.61573427915573,,wills.beer,,
Nano Cinco,Brasserie,"236 3e Rue, Québec, QC G1L 2S8",46.25443340916873,-72.93303087926314,,nanocinco,,
Dieu Du Ciel,Brasserie,"21 Av. Laurier O, Montréal, QC H2T 2N2",45.5227864062598,-73.5933519154787,,brasseriedieuduciel,,
Blés de Pays,Boulangerie,"6525 Boul. Saint-Laurent, Montréal, QC H2S 3C5",45.53066620178877,-73.60917178093507,,bles_de_pays,,
Automne,Boulangerie,"6500 Av. Christophe Colomb, Montréal, QC H2S 2G8",45.53764159078903,-73.60187463462353,,automneboulangerie,,
Le Pain dans les Voiles,Boulangerie,"357 R. de Castelnau E, Montréal, QC H2R 1R1",45.538578128848684,-73.6178082972765,,paindanslesvoiles,,
Louise,Boulangerie,"6835 Boul. Saint-Laurent, Montréal, QC H2S 3C8",45.53290934577504,-73.6141088604927,,louiseboulangerie,DSCF0224.JPG,landscape
Toldeo,Boulangerie,"351 Mont-Royal Ave E, Montreal, Quebec H2T 1R1",45.52363064138299,-73.58336806297302,,toledo.mtl,,
Kem Coba,Cremerie,"60 Av. Fairmount O, Montréal, QC H2T 2M2",45.52306875898255,-73.59506115317345,,kemcoba,,
Ripples,Cremerie,"5554 Rue Jeanne-Mance, Montréal, QC H2V 1Y1",45.52294285145428,-73.60190078616142,,ripplesicecream,,
Swirl,Cremerie,"230 Rue Rachel E, Montréal, QC H2W 1E3",45.5201512024562,-73.57955664396286,,swirlmtl,,
Givres de Villeray,Cremerie,"334 R. de Castelnau E, Montréal, QC H2R 1P8",45.53823009922452,-73.61769765615463,,lesgivres,,
Iconono glace,Cremerie,"50 Av. Laurier O, Montréal, QC H2T 2N4",45.522371565995236,-73.59322652220726,,iconoglace,,
Noble, Coffee,"430 Laurier Ave E, Montreal, Quebec H2J 1E6",45.52732877749159,-73.5890007019043,,noblecafemtl,,